terrain_x,terrain_y,terrain_z,wind_velocity,wind_angle
1260.0,1260.0,234.0,3.79,25
1290.0,1260.0,225.0,3.77,28
1320.0,1260.0,222.0,3.97,32
1350.0,1260.0,222.0,4.31,35
1380.0,1260.0,221.0,4.51,37
1410.0,1260.0,214.0,4.51,36
1440.0,1260.0,207.0,4.34,34
1470.0,1260.0,201.0,4.2,34
1500.0,1260.0,185.0,4.11,34
1530.0,1260.0,174.0,4.11,36
1560.0,1260.0,165.0,4.11,36
0.0,1230.0,765.0,5.0,52
30.0,1230.0,768.0,4.07,42
60.0,1230.0,768.0,3.82,34
90.0,1230.0,772.0,3.8,24
120.0,1230.0,769.0,3.96,17
150.0,1230.0,767.0,4.05,13
180.0,1230.0,754.0,4.19,6
210.0,1230.0,736.0,4.32,0
240.0,1230.0,710.0,4.47,2
270.0,1230.0,701.0,4.81,7
300.0,1230.0,693.0,5.23,9
330.0,1230.0,682.0,5.37,7
360.0,1230.0,662.0,5.47,5
390.0,1230.0,637.0,5.43,5
420.0,1230.0,621.0,5.37,7
450.0,1230.0,614.0,5.38,8
480.0,1230.0,585.0,5.27,5
510.0,1230.0,553.0,4.88,6
540.0,1230.0,545.0,4.15,9
570.0,1230.0,529.0,3.72,13
600.0,1230.0,507.0,3.5,12
630.0,1230.0,493.0,3.14,12
660.0,1230.0,480.0,3.13,16
690.0,1230.0,461.0,3.05,18
720.0,1230.0,444.0,3.02,21
750.0,1230.0,428.0,2.92,22
780.0,1230.0,411.0,2.92,22
810.0,1230.0,396.0,3.09,24
840.0,1230.0,383.0,3.29,26
870.0,1230.0,374.0,3.38,28
900.0,1230.0,363.0,3.41,30
930.0,1230.0,353.0,3.34,31
960.0,1230.0,335.0,3.17,28
990.0,1230.0,312.0,2.83,28
1020.0,1230.0,304.0,2.79,31
1050.0,1230.0,297.0,2.79,33
1080.0,1230.0,285.0,2.84,30
1110.0,1230.0,270.0,3.04,33
1140.0,1230.0,261.0,3.31,36
1170.0,1230.0,260.0,3.82,38
1200.0,1230.0,254.0,3.91,35
1230.0,1230.0,239.0,3.73,32
1260.0,1230.0,221.0,3.37,29
1290.0,1230.0,211.0,3.28,31
1320.0,1230.0,206.0,3.39,34
1350.0,1230.0,202.0,3.87,38
1380.0,1230.0,203.0,4.31,39
1410.0,1230.0,202.0,4.41,38
1440.0,1230.0,196.0,4.35,36
1470.0,1230.0,189.0,4.22,37
1500.0,1230.0,175.0,4.04,37
1530.0,1230.0,164.0,3.99,38
1560.0,1230.0,159.0,3.99,38
0.0,1200.0,784.0,4.82,50
30.0,1200.0,780.0,3.96,37
60.0,1200.0,780.0,3.78,28
90.0,1200.0,774.0,3.84,19
120.0,1200.0,770.0,3.98,14
150.0,1200.0,765.0,4.07,12
180.0,1200.0,750.0,4.26,7
210.0,1200.0,724.0,4.36,3
240.0,1200.0,706.0,4.34,2
270.0,1200.0,695.0,4.52,5
300.0,1200.0,676.0,4.8,8
330.0,1200.0,656.0,4.98,10
360.0,1200.0,641.0,4.96,11
390.0,1200.0,619.0,4.66,11
420.0,1200.0,605.0,4.52,10
450.0,1200.0,584.0,4.49,12
480.0,1200.0,557.0,4.13,15
510.0,1200.0,535.0,3.86,15
540.0,1200.0,530.0,3.75,16
570.0,1200.0,505.0,3.57,15
600.0,1200.0,492.0,3.41,15
630.0,1200.0,476.0,3.18,15
660.0,1200.0,463.0,2.94,18
690.0,1200.0,444.0,2.84,19
720.0,1200.0,431.0,2.79,22
750.0,1200.0,419.0,2.75,21
780.0,1200.0,395.0,2.72,21
810.0,1200.0,378.0,2.68,23
840.0,1200.0,367.0,2.72,27
870.0,1200.0,351.0,2.87,29
900.0,1200.0,343.0,3.16,32
930.0,1200.0,334.0,3.33,32
960.0,1200.0,322.0,3.25,31
990.0,1200.0,304.0,2.95,28
1020.0,1200.0,297.0,2.93,31
1050.0,1200.0,293.0,2.89,31
1080.0,1200.0,275.0,2.76,29
1110.0,1200.0,256.0,2.79,31
1140.0,1200.0,247.0,2.99,34
1170.0,1200.0,245.0,3.41,38
1200.0,1200.0,238.0,3.64,38
1230.0,1200.0,226.0,3.56,36
1260.0,1200.0,213.0,3.21,33
1290.0,1200.0,201.0,3.01,33
1320.0,1200.0,195.0,3.02,36
1350.0,1200.0,188.0,3.2,40
1380.0,1200.0,188.0,3.66,42
1410.0,1200.0,185.0,3.92,41
1440.0,1200.0,183.0,4.08,41
1470.0,1200.0,179.0,4.11,41
1500.0,1200.0,170.0,3.99,40
1530.0,1200.0,161.0,3.87,39
1560.0,1200.0,158.0,3.87,39
0.0,1170.0,803.0,4.64,50
30.0,1170.0,792.0,3.72,35
60.0,1170.0,788.0,3.59,27
90.0,1170.0,779.0,3.57,18
120.0,1170.0,773.0,3.66,13
150.0,1170.0,765.0,3.74,11
180.0,1170.0,743.0,3.87,7
210.0,1170.0,724.0,3.91,4
240.0,1170.0,700.0,4.11,2
270.0,1170.0,674.0,4.32,4
300.0,1170.0,657.0,4.21,9
330.0,1170.0,644.0,4.1,13
360.0,1170.0,622.0,4.14,15
390.0,1170.0,604.0,3.95,13
420.0,1170.0,589.0,3.8,12
450.0,1170.0,560.0,3.56,15
480.0,1170.0,536.0,3.47,19
510.0,1170.0,522.0,3.41,17
540.0,1170.0,512.0,3.4,18
570.0,1170.0,494.0,3.16,17
600.0,1170.0,475.0,3.14,18
630.0,1170.0,461.0,2.99,18
660.0,1170.0,449.0,2.83,20
690.0,1170.0,431.0,2.76,20
720.0,1170.0,414.0,2.81,21
750.0,1170.0,392.0,2.88,21
