terrain_x,terrain_y,terrain_z
347390.62051192555,2646679.5078953276,299.0
347420.62051192555,2646679.5078953276,289.0
347450.62051192555,2646679.5078953276,285.0
347480.62051192555,2646679.5078953276,276.0
347510.62051192555,2646679.5078953276,270.0
347540.62051192555,2646679.5078953276,258.0
347570.62051192555,2646679.5078953276,240.0
347600.62051192555,2646679.5078953276,228.0
347630.62051192555,2646679.5078953276,220.0
347660.62051192555,2646679.5078953276,206.0
347690.62051192555,2646679.5078953276,195.0
346130.62051192555,2646649.5078953276,680.0
346160.62051192555,2646649.5078953276,683.0
346190.62051192555,2646649.5078953276,690.0
346220.62051192555,2646649.5078953276,691.0
346250.62051192555,2646649.5078953276,694.0
346280.62051192555,2646649.5078953276,694.0
346310.62051192555,2646649.5078953276,695.0
346340.62051192555,2646649.5078953276,685.0
346370.62051192555,2646649.5078953276,678.0
346400.62051192555,2646649.5078953276,673.0
346430.62051192555,2646649.5078953276,659.0
346460.62051192555,2646649.5078953276,648.0
346490.62051192555,2646649.5078953276,633.0
346520.62051192555,2646649.5078953276,625.0
346550.62051192555,2646649.5078953276,615.0
346580.62051192555,2646649.5078953276,606.0
346610.62051192555,2646649.5078953276,591.0
346640.62051192555,2646649.5078953276,584.0
346670.62051192555,2646649.5078953276,580.0
346700.62051192555,2646649.5078953276,578.0
346730.62051192555,2646649.5078953276,573.0
346760.62051192555,2646649.5078953276,572.0
346790.62051192555,2646649.5078953276,565.0
346820.62051192555,2646649.5078953276,548.0
346850.62051192555,2646649.5078953276,536.0
346880.62051192555,2646649.5078953276,529.0
346910.62051192555,2646649.5078953276,525.0
346940.62051192555,2646649.5078953276,518.0
346970.62051192555,2646649.5078953276,499.0
347000.62051192555,2646649.5078953276,470.0
347030.62051192555,2646649.5078953276,452.0
347060.62051192555,2646649.5078953276,436.0
347090.62051192555,2646649.5078953276,425.0
347120.62051192555,2646649.5078953276,411.0
347150.62051192555,2646649.5078953276,399.0
347180.62051192555,2646649.5078953276,391.0
347210.62051192555,2646649.5078953276,374.0
347240.62051192555,2646649.5078953276,359.0
347270.62051192555,2646649.5078953276,347.0
347300.62051192555,2646649.5078953276,336.0
347330.62051192555,2646649.5078953276,318.0
347360.62051192555,2646649.5078953276,290.0
347390.62051192555,2646649.5078953276,283.0
347420.62051192555,2646649.5078953276,281.0
347450.62051192555,2646649.5078953276,276.0
347480.62051192555,2646649.5078953276,271.0
347510.62051192555,2646649.5078953276,265.0
347540.62051192555,2646649.5078953276,250.0
347570.62051192555,2646649.5078953276,234.0
347600.62051192555,2646649.5078953276,229.0
347630.62051192555,2646649.5078953276,220.0
347660.62051192555,2646649.5078953276,210.0
347690.62051192555,2646649.5078953276,197.0
346130.62051192555,2646619.5078953276,697.0
346160.62051192555,2646619.5078953276,698.0
346190.62051192555,2646619.5078953276,700.0
346220.62051192555,2646619.5078953276,702.0
346250.62051192555,2646619.5078953276,702.0
346280.62051192555,2646619.5078953276,707.0
346310.62051192555,2646619.5078953276,707.0
346340.62051192555,2646619.5078953276,705.0
346370.62051192555,2646619.5078953276,711.0
346400.62051192555,2646619.5078953276,698.0
346430.62051192555,2646619.5078953276,679.0
346460.62051192555,2646619.5078953276,667.0
346490.62051192555,2646619.5078953276,653.0
346520.62051192555,2646619.5078953276,642.0
346550.62051192555,2646619.5078953276,627.0
346580.62051192555,2646619.5078953276,619.0
346610.62051192555,2646619.5078953276,602.0
346640.62051192555,2646619.5078953276,594.0
346670.62051192555,2646619.5078953276,592.0
346700.62051192555,2646619.5078953276,585.0
346730.62051192555,2646619.5078953276,575.0
346760.62051192555,2646619.5078953276,564.0
346790.62051192555,2646619.5078953276,555.0
346820.62051192555,2646619.5078953276,538.0
346850.62051192555,2646619.5078953276,517.0
346880.62051192555,2646619.5078953276,512.0
346910.62051192555,2646619.5078953276,502.0
346940.62051192555,2646619.5078953276,486.0
346970.62051192555,2646619.5078953276,469.0
347000.62051192555,2646619.5078953276,453.0
347030.62051192555,2646619.5078953276,433.0
347060.62051192555,2646619.5078953276,419.0
347090.62051192555,2646619.5078953276,406.0
347120.62051192555,2646619.5078953276,394.0
347150.62051192555,2646619.5078953276,382.0
347180.62051192555,2646619.5078953276,370.0
347210.62051192555,2646619.5078953276,352.0
347240.62051192555,2646619.5078953276,343.0
347270.62051192555,2646619.5078953276,335.0
347300.62051192555,2646619.5078953276,326.0
347330.62051192555,2646619.5078953276,305.0
347360.62051192555,2646619.5078953276,283.0
347390.62051192555,2646619.5078953276,273.0
347420.62051192555,2646619.5078953276,269.0
347450.62051192555,2646619.5078953276,267.0
347480.62051192555,2646619.5078953276,263.0
347510.62051192555,2646619.5078953276,257.0
347540.62051192555,2646619.5078953276,244.0
347570.62051192555,2646619.5078953276,228.0
347600.62051192555,2646619.5078953276,219.0
347630.62051192555,2646619.5078953276,212.0
347660.62051192555,2646619.5078953276,206.0
347690.62051192555,2646619.5078953276,194.0
346130.62051192555,2646589.5078953276,711.0
346160.62051192555,2646589.5078953276,713.0
346190.62051192555,2646589.5078953276,718.0
346220.62051192555,2646589.5078953276,719.0
346250.62051192555,2646589.5078953276,722.0
346280.62051192555,2646589.5078953276,722.0
346310.62051192555,2646589.5078953276,719.0
346340.62051192555,2646589.5078953276,720.0
346370.62051192555,2646589.5078953276,721.0
346400.62051192555,2646589.5078953276,714.0
346430.62051192555,2646589.5078953276,694.0
346460.62051192555,2646589.5078953276,680.0
346490.62051192555,2646589.5078953276,664.0
346520.62051192555,2646589.5078953276,653.0
346550.62051192555,2646589.5078953276,647.0
346580.62051192555,2646589.5078953276,629.0
346610.62051192555,2646589.5078953276,611.0
346640.62051192555,2646589.5078953276,597.0
346670.62051192555,2646589.5078953276,595.0
346700.62051192555,2646589.5078953276,583.0
346730.62051192555,2646589.5078953276,565.0
346760.62051192555,2646589.5078953276,548.0
346790.62051192555,2646589.5078953276,545.0
346820.62051192555,2646589.5078953276,528.0
346850.62051192555,2646589.5078953276,512.0
346880.62051192555,2646589.5078953276,495.0
